SgID,ZhangScore
16056,0.669485
16079,0.532082
16080,0.747857
16081,0.682017
16082,0.356937
16083,0.295285
16092,0.744344
16093,0.737268
16111,0.59634
16112,0.765307
16113,0.604298
16120,0.61675
16128,0.402957
16129,0.463294
16150,0.792787
16156,0.379475
16173,0.779325
16177,0.42759
16178,0.578042
16179,0.459545
16180,0.425633
16181,0.306431
16182,0.321619
16183,0.330929
16184,0.122461
16185,0.233658
16186,0.286338
16200,0.23598
16201,0.738299
16202,0.738312
16212,0.590012
16222,0.54652
16223,0.551854
16224,0.28438
16237,0.706933
16240,0.755344
16243,0.820508
16244,0.819401
16245,0.729838
16246,0.617595
16254,0.738797
16267,0.438535
16268,0.335646
16270,0.414329
16271,0.456634
16272,0.286493
16286,0.708854
16287,0.708387
16288,0.798324
16289,0.589807
16301,0.613707
16302,0.605423
16303,0.874956
16304,0.674494
16305,0.557069
16312,0.0950172
16313,0.193208
16314,0.266974
16315,0.600118
16316,0.617473
16317,0.494541
16318,0.617508
16319,0.662371
16320,0.574329
16330,0.631142
16331,0.689209
16339,0.214415
16340,0.379231
16341,0.171133
16342,0.334731
16343,0.260307
16352,0.532132
16358,0.690473
16359,0.597708
16360,0.515552
16367,0.523857
16368,0.514854
16370,0.673952
16371,0.784709
16372,0.750791
16373,0.305632
16374,0.33468
16375,0.34741
16377,0.460471
16381,0.559788
16384,0.272452
16385,0.363888
16386,0.425233
16387,0.397888
16388,0.494059
16411,0.409473
16414,0.770056
16415,0.927115
16416,0.854227
16422,0.741562
16444,0.72589
16445,0.787303
16446,0.728908
16447,0.788099
16448,0.809666
16453,0.47175
16454,0.337112
16462,0.837178
16463,0.759123
16464,0.78337
16466,0.566014
16467,0.700893
16468,0.837766
16469,0.833301
16474,0.794663
16479,0.982321
16480,0.959977
16493,0.44456
16494,0.796618
16495,0.24
16506,0.84704
16507,0.25
16508,0.739327
16518,0.830394
16519,0.872391
16520,0.803648
16521,0.764958
16522,0.70225
16523,0.171101
16538,0.18235
16542,0.825368
16543,0.765747
16544,0.454505
16545,0.21406
16575,0.813508
16576,0.774636
16600,0.801548
16601,0.74327
16602,0.783729
16603,0.599242
16604,0.868998
16608,0.536166
16618,0.457217
16619,0.579813
16620,0.720771
16637,0.559187
16638,0.544278
16639,0.525488
16640,0.615377
16641,0.694222
16642,0.87346
16643,0.864342
16645,0.688673
16646,0.613055
16655,0.626829
16659,0.399293
16667,0.683917
16669,0.714977
16672,0.466643
16677,0.663771
16694,0.544076
16695,0.636787
16696,0.609442
16705,0.882315
16706,0.545889
16707,0.554444
16717,0.520452
16718,0.489122
16719,0.385597
16720,0.301191
16721,0.750517
16729,0.71196
16730,0.705245
16733,0.500713
16737,0.72762
16741,0.643906
16742,0.698812
16743,0.695726
16744,0.60813
16745,0.547342
16746,0.515037
16755,0.753161
16756,0.56666
16757,0.543418
16758,0.740083
16767,0.737097
16770,0.790625
16775,0.541129
16777,0.772793
16784,0.697519
16785,0.698553
16786,0.855614
16787,0.870216
16795,0.621097
16796,0.746172
16802,0.626594
16820,0.679269
16824,0.616899
16825,0.502047
16826,0.714388
16827,0.692703
16835,0.721161
16843,0.475873
16844,0.679622
16845,0.899526
16846,0.922053
16850,0.664387
16851,0.662943
16861,0.717649
16868,0.308672
16869,0.646775
16874,0.492615
16876,0.800857
16880,0.305037
16881,0.473022
16884,0.563536
16887,0.614835
16893,0.59117
16912,0.645842
16913,0.905952
16914,0.872362
16915,0.876585
16927,0.881775
16932,0.800426
16933,0.946866
16934,0.922075
16935,0.914642
16936,0.913484
16946,0.980362
16963,0.636106
16964,0.602243
16965,0.580781
16966,0.527531
16997,0.741744
17001,0.456992
17002,0.131056
17003,0.12318
17004,0.147952
17005,0.121577
17006,0.125788
17019,0.122038
17020,0.120162
17028,0.123528
17029,0.688705
17030,0.589144
17031,0.579584
17037,0.617055
